2021-08-26 22:28:16,268 - INFO - epoch: 0, batch_id: 12176, auc:0.798142, loss:[0.44898713], avg_reader_cost: 0.00567 sec, avg_batch_cost: 0.51797 sec, avg_samples: 2048.00000, ips: 3953.92234 ins/s
2021-08-26 22:28:24,438 - INFO - epoch: 0, batch_id: 12192, auc:0.798149, loss:[0.47093278], avg_reader_cost: 0.00538 sec, avg_batch_cost: 0.50963 sec, avg_samples: 2048.00000, ips: 4018.63232 ins/s
2021-08-26 22:28:32,761 - INFO - epoch: 0, batch_id: 12208, auc:0.798167, loss:[0.45844692], avg_reader_cost: 0.00569 sec, avg_batch_cost: 0.51916 sec, avg_samples: 2048.00000, ips: 3944.86112 ins/s
2021-08-26 22:28:41,248 - INFO - epoch: 0, batch_id: 12224, auc:0.798180, loss:[0.456407], avg_reader_cost: 0.00572 sec, avg_batch_cost: 0.52946 sec, avg_samples: 2048.00000, ips: 3868.08507 ins/s
2021-08-26 22:28:49,602 - INFO - epoch: 0, batch_id: 12240, auc:0.798195, loss:[0.44473302], avg_reader_cost: 0.00572 sec, avg_batch_cost: 0.52108 sec, avg_samples: 2048.00000, ips: 3930.32029 ins/s
2021-08-26 22:28:57,797 - INFO - epoch: 0, batch_id: 12256, auc:0.798208, loss:[0.45356396], avg_reader_cost: 0.00570 sec, avg_batch_cost: 0.50940 sec, avg_samples: 2048.00000, ips: 4020.41257 ins/s
2021-08-26 22:29:06,111 - INFO - epoch: 0, batch_id: 12272, auc:0.798218, loss:[0.46335748], avg_reader_cost: 0.00566 sec, avg_batch_cost: 0.51861 sec, avg_samples: 2048.00000, ips: 3949.01325 ins/s
2021-08-26 22:29:14,337 - INFO - epoch: 0, batch_id: 12288, auc:0.798231, loss:[0.44664723], avg_reader_cost: 0.00538 sec, avg_batch_cost: 0.51311 sec, avg_samples: 2048.00000, ips: 3991.35815 ins/s
*****/home/aistudio/data/criteo/slot_train_data_full/part-130_split0*****
*****/home/aistudio/data/criteo/slot_train_data_full/part-188_split0*****
*****/home/aistudio/data/criteo/slot_train_data_full/part-35_split0*****
2021-08-26 22:29:22,663 - INFO - epoch: 0, batch_id: 12304, auc:0.798235, loss:[0.4419879], avg_reader_cost: 0.00574 sec, avg_batch_cost: 0.51935 sec, avg_samples: 2048.00000, ips: 3943.36244 ins/s
2021-08-26 22:29:30,836 - INFO - epoch: 0, batch_id: 12320, auc:0.798245, loss:[0.44209275], avg_reader_cost: 0.00534 sec, avg_batch_cost: 0.50982 sec, avg_samples: 2048.00000, ips: 4017.09128 ins/s
2021-08-26 22:29:39,120 - INFO - epoch: 0, batch_id: 12336, auc:0.798250, loss:[0.4621259], avg_reader_cost: 0.00537 sec, avg_batch_cost: 0.51672 sec, avg_samples: 2048.00000, ips: 3963.42734 ins/s
2021-08-26 22:29:47,447 - INFO - epoch: 0, batch_id: 12352, auc:0.798257, loss:[0.43825814], avg_reader_cost: 0.00569 sec, avg_batch_cost: 0.51942 sec, avg_samples: 2048.00000, ips: 3942.86592 ins/s
*****/home/aistudio/data/criteo/slot_train_data_full/part-65_split0*****
2021-08-26 22:29:55,786 - INFO - epoch: 0, batch_id: 12368, auc:0.798265, loss:[0.44101185], avg_reader_cost: 0.00569 sec, avg_batch_cost: 0.52017 sec, avg_samples: 2048.00000, ips: 3937.14628 ins/s
2021-08-26 22:30:04,084 - INFO - epoch: 0, batch_id: 12384, auc:0.798275, loss:[0.46971712], avg_reader_cost: 0.00568 sec, avg_batch_cost: 0.51768 sec, avg_samples: 2048.00000, ips: 3956.13280 ins/s
2021-08-26 22:30:12,417 - INFO - epoch: 0, batch_id: 12400, auc:0.798282, loss:[0.45208538], avg_reader_cost: 0.00571 sec, avg_batch_cost: 0.51978 sec, avg_samples: 2048.00000, ips: 3940.16278 ins/s
2021-08-26 22:30:20,726 - INFO - epoch: 0, batch_id: 12416, auc:0.798285, loss:[0.4616886], avg_reader_cost: 0.00566 sec, avg_batch_cost: 0.51836 sec, avg_samples: 2048.00000, ips: 3950.91030 ins/s
2021-08-26 22:30:28,831 - INFO - epoch: 0, batch_id: 12432, auc:0.798285, loss:[0.46922904], avg_reader_cost: 0.00503 sec, avg_batch_cost: 0.50557 sec, avg_samples: 2048.00000, ips: 4050.88740 ins/s
2021-08-26 22:30:37,120 - INFO - epoch: 0, batch_id: 12448, auc:0.798289, loss:[0.47166348], avg_reader_cost: 0.00564 sec, avg_batch_cost: 0.51709 sec, avg_samples: 2048.00000, ips: 3960.61696 ins/s
2021-08-26 22:30:45,471 - INFO - epoch: 0, batch_id: 12464, auc:0.798294, loss:[0.47641867], avg_reader_cost: 0.00572 sec, avg_batch_cost: 0.52092 sec, avg_samples: 2048.00000, ips: 3931.52182 ins/s
2021-08-26 22:30:53,677 - INFO - epoch: 0, batch_id: 12480, auc:0.798298, loss:[0.47198367], avg_reader_cost: 0.00543 sec, avg_batch_cost: 0.51019 sec, avg_samples: 2048.00000, ips: 4014.21545 ins/s
2021-08-26 22:31:02,038 - INFO - epoch: 0, batch_id: 12496, auc:0.798311, loss:[0.4750615], avg_reader_cost: 0.00539 sec, avg_batch_cost: 0.52187 sec, avg_samples: 2048.00000, ips: 3924.33294 ins/s
2021-08-26 22:31:10,384 - INFO - epoch: 0, batch_id: 12512, auc:0.798319, loss:[0.48780793], avg_reader_cost: 0.00572 sec, avg_batch_cost: 0.52062 sec, avg_samples: 2048.00000, ips: 3933.79534 ins/s
2021-08-26 22:31:18,642 - INFO - epoch: 0, batch_id: 12528, auc:0.798325, loss:[0.4855074], avg_reader_cost: 0.00572 sec, avg_batch_cost: 0.51313 sec, avg_samples: 2048.00000, ips: 3991.17664 ins/s
2021-08-26 22:31:26,951 - INFO - epoch: 0, batch_id: 12544, auc:0.798335, loss:[0.4426371], avg_reader_cost: 0.00537 sec, avg_batch_cost: 0.51864 sec, avg_samples: 2048.00000, ips: 3948.80800 ins/s
2021-08-26 22:31:35,301 - INFO - epoch: 0, batch_id: 12560, auc:0.798341, loss:[0.48203915], avg_reader_cost: 0.00571 sec, avg_batch_cost: 0.52090 sec, avg_samples: 2048.00000, ips: 3931.67781 ins/s
2021-08-26 22:31:43,492 - INFO - epoch: 0, batch_id: 12576, auc:0.798351, loss:[0.4738522], avg_reader_cost: 0.00539 sec, avg_batch_cost: 0.51091 sec, avg_samples: 2048.00000, ips: 4008.52452 ins/s
2021-08-26 22:31:51,670 - INFO - epoch: 0, batch_id: 12592, auc:0.798357, loss:[0.46752515], avg_reader_cost: 0.00537 sec, avg_batch_cost: 0.51008 sec, avg_samples: 2048.00000, ips: 4015.03375 ins/s
2021-08-26 22:31:59,999 - INFO - epoch: 0, batch_id: 12608, auc:0.798362, loss:[0.4641351], avg_reader_cost: 0.00571 sec, avg_batch_cost: 0.51958 sec, avg_samples: 2048.00000, ips: 3941.63416 ins/s
2021-08-26 22:32:08,225 - INFO - epoch: 0, batch_id: 12624, auc:0.798369, loss:[0.4587801], avg_reader_cost: 0.00536 sec, avg_batch_cost: 0.51311 sec, avg_samples: 2048.00000, ips: 3991.33114 ins/s
2021-08-26 22:32:16,485 - INFO - epoch: 0, batch_id: 12640, auc:0.798383, loss:[0.45724183], avg_reader_cost: 0.00535 sec, avg_batch_cost: 0.51524 sec, avg_samples: 2048.00000, ips: 3974.82266 ins/s
*****/home/aistudio/data/criteo/slot_train_data_full/part-41_split0*****
*****/home/aistudio/data/criteo/slot_train_data_full/part-107_split0*****
*****/home/aistudio/data/criteo/slot_train_data_full/part-193_split0*****
2021-08-26 22:32:24,830 - INFO - epoch: 0, batch_id: 12656, auc:0.798394, loss:[0.4662673], avg_reader_cost: 0.00571 sec, avg_batch_cost: 0.52055 sec, avg_samples: 2048.00000, ips: 3934.27313 ins/s
